"title";"description";"skillType";"uri"
"pharmacokinetics";"The body interaction with a specific drug after administration, the mechanisms of absorption and distribution and the substance chemical changes in the body.";"knowledge";"http://data.europa.eu/esco/skill/b7cd09b7-58d8-4f2e-87de-613ae629f270"
"promote education course";"Advertise and market the programme or class you teach to potential students and the education organisation where you teach with the aim of maximising registration numbers and allocated budget.";"skill";"http://data.europa.eu/esco/skill/5a3c7fa1-4f0d-4ede-8e5e-734a2afa5ca7"
"handle timber-based products";"Identify the main types of timber based products to be received at your company. Stack and store timber based products safely and in compliance with company procedures.";"skill";"http://data.europa.eu/esco/skill/96aa1a61-7c1e-4dba-a468-4bffa78f939d"
"serve on academic committee";"Contribute to university or college managerial decisions, such as budgetary issues, school policy reviews and recommendations, department promotions, and hiring of new staff members. This may also include participation in discussions around educational policy reforms.";"skill";"http://data.europa.eu/esco/skill/1c2b578b-829e-4ef7-b709-c77dd51d457c"
"electrical stimulation in acupuncture";"The technique used in acupuncture where electric conducting pads are placed on a skin area and a low frequency electric current is passed through it to stimulate the acupuncture points.";"knowledge";"http://data.europa.eu/esco/skill/17b8aac7-6444-4fcc-bb51-a158df61ffbc"
"implement policy in healthcare practices";"Establish how policies should be interpreted and translated within the practice, implementing local and national policies, as well as those of your own practice and proposing developments and improvements to service delivery.";"skill";"http://data.europa.eu/esco/skill/1979dafb-85ce-45da-acfe-d55353930755"
"assess the course of breast-feeding period";"Evaluate and monitor the breast-feeding activity of a mother to her newly born child.";"skill";"http://data.europa.eu/esco/skill/4a8492b8-55ba-4ffa-b187-4b16d20bacc4"
"restrain individuals";"Restrain, or control by force, individuals who violate regulations in terms of acceptable behaviour, who present a threat to others, and who perform acts of violence, to ensure the individual is unable to proceed in this negative behaviour and to protect others.";"skill";"http://data.europa.eu/esco/skill/0893faa7-0666-466d-bf32-65005da1c933"
"guidance, navigation and control";"The engineering discipline that deals with the design and development of systems that can control the motion of automobiles, ships, space- and aircraft. It includes control over vehicle's trajectory from its present location to a designated target and vehicle's speed and altitude.";"knowledge";"http://data.europa.eu/esco/skill/af2eb9ef-c98d-4ab2-b4dd-049cdb30e665"
"phytotherapy";"The characteristics, the effects and the use of herbal medicines.";"knowledge";"http://data.europa.eu/esco/skill/493fb8bf-d880-4499-b374-b1ecb0df4b50"
"concurrent estate";"The concept in property law which stipulates the rights and duties of two parties co-owning a property, and the various ways in which co-tenancy is possible.";"knowledge";"http://data.europa.eu/esco/skill/e73708c4-3a14-4ba6-a570-bbe8e0d00093"
"handle evidence";"Handle evidence important for a case in a manner compliant with regulations, in order to not affect the state of the evidence in question and to ensure its pristine condition and usability in the case.";"skill";"http://data.europa.eu/esco/skill/2242a42b-f810-4007-bd9c-e761f863cfd9"
"analyse insurance needs";"Gather information about the insurance needs of a client, and give information and advice about all possible insurance options.";"skill";"http://data.europa.eu/esco/skill/3dde5918-f4c6-4d46-9d6f-c7b2865f594f"
"assess health services within the community";"Assess the effectiveness and efficiency of health services for the community with a view to its improvement.";"skill";"http://data.europa.eu/esco/skill/f6ed6d0b-cb2d-4a73-9707-97fdf4288d3c"
"provide user support for electrical instruments";"Provide user support and make recommendations for the use of existing or new electrical devices; assist and provide advice with regard to product maintenance, upgrades and troubleshooting.";"skill";"http://data.europa.eu/esco/skill/520f01d1-91a9-44cb-a3e6-b803e18f439c"
"make numerical calculations";"Work with numbers and perform complex calculations. An understanding of the basics of maths is crucial.";"skill";"http://data.europa.eu/esco/skill/f0f93b8b-0ee4-4452-945e-4a2272c0d8dd"
"analgesics";"The types of medication used to relief pain in various medical cases.";"knowledge";"http://data.europa.eu/esco/skill/43438fd0-3af5-48f9-8984-495dfc447b0f"
"organise property viewing";"Organise events in which prospective buyers or tenants of a property can visit the property in order to assess whether it is suitable to their needs and to obtain information, and organise plans to liaise with the prospective customers in order to secure a contract.";"skill";"http://data.europa.eu/esco/skill/f405e179-f6bb-4c19-92f3-023a7254382c"
"organise staff assessment";"Organising the overall assessment process of the staff.";"skill";"http://data.europa.eu/esco/skill/2ae4ae1a-367e-47e0-a0cc-6777be3e58d0"
"identify policy breach";"Identify instances of non-compliance to set plans and policies in an organisation, and take the appropriate course of action by issuing penalties and outlining the changes which need to be made.";"skill";"http://data.europa.eu/esco/skill/751f6baf-de47-4d67-a657-4133066703f4"
"consider building constraints in architectural designs";"Conceive the different types of constraints faced in architecture and building projects, including budgetary, time, labour, material, and natural constraints.";"skill";"http://data.europa.eu/esco/skill/a4c4c0b7-3dc4-4a6b-b1c8-6502cde56a14"
"pharmacognosy";"The physical, chemical, biochemical and biological properties of medicines which have natural sources as an origin.";"knowledge";"http://data.europa.eu/esco/skill/82a63a4a-b43b-420c-aa5f-92e6a85368fb"
"perform clerical duties";"Perform administrative tasks such as filing, typing up reports and maintaining mail correspondence.";"skill";"http://data.europa.eu/esco/skill/ab986bc4-df92-4351-9ac1-aa75af943cf7"
"marketing department processes";"The different processes, duties, jargon, role in an organisation, and other specificities of the marketing department within an organisation such as market research, marketing strategies, and advertising processes.";"knowledge";"http://data.europa.eu/esco/skill/84605f91-5ab4-4965-a1ad-cdc1901a820d"
"develop employee retention programs";"Plan, develop, and implement programs aimed at keeping the satisfaction of the employees in the best levels. Consequently, assuring the loyalty of employees.";"skill";"http://data.europa.eu/esco/skill/f77b73f0-8c65-4389-a3ae-3a57a73ad148"
"develop investigation strategy";"Develop strategies used in an investigation to gather information and intelligence in the most productive way, compliant with legislation, ensuring that the strategy is adapted to each individual case in order to obtain intelligence as efficiently and quickly as possible.";"skill";"http://data.europa.eu/esco/skill/1e6933f3-489e-4d82-97b4-1ffd62931e74"
"maintain register of shareholders";"Keep an accurate register of shareholders and monitoring changes in share ownership of the company.";"skill";"http://data.europa.eu/esco/skill/e345cf05-bc6b-43a6-aca3-2f9c1ec0e772"
"human physiology";"The science that studies the human organs and its interactions and mechanisms. ";"knowledge";"http://data.europa.eu/esco/skill/51e53aff-6f8a-42ca-9cb9-47335130f4d7"
"investigate forgery cases";"Investigate the illegal altering, copying or imitation of articles or goods (for example currency, public records or works of art) used for criminal purposes.";"skill";"http://data.europa.eu/esco/skill/34b61e03-4f55-4308-ac11-fda7566badf4"
"maintain statutory books";"Maintain updated the statutory books of the company with the relevant information of the directors and secretaries, the directors interests, and the register of shareholders.";"skill";"http://data.europa.eu/esco/skill/047fcf0a-2936-49fb-b4eb-97cdd8d09d0b"
"conduct cupping therapy";"Perform cupping therapy by means of a local suction on a skin area with the aid of a glass, therapy which increases the flow of blood to the area being treated, allowing to treat several conditions.";"skill";"http://data.europa.eu/esco/skill/3716971c-6cb3-460b-b00a-eb027e9bf278"
"analyse stress resistance of products";"Analyse the ability of products to endure stress imposed by temperature, loads, motion, vibration and other factors, by using mathematical formulas and computer simulations.";"skill";"http://data.europa.eu/esco/skill/632843be-2872-47b4-a92e-352629f9bd88"
"postpartum period";"The changes and possible problems that can occur in the six week period after birth.";"knowledge";"http://data.europa.eu/esco/skill/624e82e5-1424-4ef1-8aa9-de19f8117249"
"guide international students";"Support international exchange students with their cultural adjustment in a new community. Assist them with settling in a new academic environment.";"skill";"http://data.europa.eu/esco/skill/2a54b75f-1a00-4abd-9d38-f97c6802f85f"
"provide basic support to patients";"Support patients and citizens with activities of daily living, such as hygiene, comfort, mobilisation and feeding needs.";"skill";"http://data.europa.eu/esco/skill/24f980ba-b44f-4739-b563-205104c3190d"
"modern portfolio theory";"The theory of finance that attempts to either maximise the profit of an investment equivalent to the risk taken or to reduce the risk for the expected profit of an investment by judiciously choosing the right combination of financial products.";"knowledge";"http://data.europa.eu/esco/skill/bcadc519-00f4-43bc-9373-054f4ac717cb"
"compose real estate contract";"Create a contract between two parties for the purchase, sale or rental of real estate. Make sure the real estate contract and the specifications comply with the legal requirements and are legally enforceable.";"skill";"http://data.europa.eu/esco/skill/f1efe8d2-42b2-4fba-999f-2409f7685221"
"assist students with equipment";"Provide assistance to students when working with (technical) equipment used in practice-based lessons and solve operational problems when necessary.";"skill";"http://data.europa.eu/esco/skill/7530bc44-f09d-4dd2-8911-92b98333e442"
"ensure aircraft compliance with regulation";"Ensure that every aircraft complies with applicable regulation and all components and equipment have officially valid components.";"skill";"http://data.europa.eu/esco/skill/be566f3e-6c21-4799-a7d0-fa4abbcb71cd"
"draft press releases";"Collect information and write press releases adjusting the register to the target audience and ensuring that the message is well conveyed.";"skill";"http://data.europa.eu/esco/skill/7800332c-a8eb-4792-8d72-50d509616154"
"initiate contact with buyers";"Identify buyers of commodities and establish contact.";"skill";"http://data.europa.eu/esco/skill/c1013d55-b503-428f-aa58-f45412350e28"
"undertake healthcare examination";"Assess the healthcare user's physical state, taking detailed information on previous injuries, surgery, general health, resources and lifestyle into account.";"skill";"http://data.europa.eu/esco/skill/721419a7-f1b6-454c-80f4-2a84ad90dd33"
"liaise with board members";"Report to the management, boards of directors and committees of an organisation.";"skill";"http://data.europa.eu/esco/skill/c0949c80-94c5-4bf1-8e05-ebed75807c01"
"hear witness accounts";"Hear witness accounts during a court hearing or during an investigation to assess the significance of the account, its impact on the case under scrutiny or investigation, and to aid in reaching a conclusion.";"skill";"http://data.europa.eu/esco/skill/a1f79d57-2e4d-4876-a7ac-4ab19e0861dc"
"use diagnostic tools for electronic repairs";"Use diagnostic equipment to measure current, resistance and voltage. Handle sophisticated multimeters to measure inductance, capacitance and current transistor gain.";"skill";"http://data.europa.eu/esco/skill/429f440f-9dc4-48d3-80ae-e58fce165cca"
"tai chi";"The traditional medicine practice, originally conceived as a martial art, which is based on Chinese philosophical principles and is known for its defense training and health benefits.";"knowledge";"http://data.europa.eu/esco/skill/bcfe38c7-7495-4cbc-894b-e321e3a30717"
"satisfy technical requirements";"Take into consideration technical requirements coming from the clients or from the engineers in order to integrate them into the design.";"skill";"http://data.europa.eu/esco/skill/54660948-b811-49a9-874c-bf2be5f280a2"
"assist in loan applications";"Assist clients with filling out and managing their applications for loans by providing them with practical assistance, such as provision of relevant documentation and instruction on the process, and other advice such as any arguments they could bring forward to the lending organisation in order to secure the loan.";"skill";"http://data.europa.eu/esco/skill/539d758d-8625-4b82-bad1-71cddead2a48"
"real estate market";"The trends concerning the buying, selling, or renting of property, including the land, buildings, and natural resources encompassed within the property; the categories of residential properties and properties for business purposes which such properties are traded in.";"knowledge";"http://data.europa.eu/esco/skill/6f6163dc-a801-416c-86e9-ce857d71c24d"
"obtain sponsorship";"Acquire sponsor deals by preparing relevant applications and reports.";"skill";"http://data.europa.eu/esco/skill/4617a4fb-87d7-4316-ae1e-7c9f7301c15b"
"develop scientific research protocols";"Develop and record the procedural method used for a specific scientific experiment in order to enable its replication.";"skill";"http://data.europa.eu/esco/skill/9b9662e0-100a-4314-9bdc-8146a7105c3d"
"value properties";"Examine and evaluate land and buildings in order to make valuations about their price.";"skill";"http://data.europa.eu/esco/skill/b1a1149a-9bc5-468d-9d09-f6d171cfd619"
"develop course outline";"Research and establish an outline of the course to be taught and calculate a time frame for the instructional plan in accordance with school regulations and curriculum objectives.";"skill";"http://data.europa.eu/esco/skill/f0699875-51da-48d2-bc92-54b0749baef1"
"create floor plan template";"Lay out the floor plan of the area to be covered on a suitable medium, such as strong paper. Follow any shapes, nooks and crannies of the floor.";"skill";"http://data.europa.eu/esco/skill/0623ef90-52f6-496f-a4ca-55925baf00ae"
"prepare inventory of properties";"List all the items present in a property building which is leased or rented, in order to have a contractual agreement between the owner and the tenant.";"skill";"http://data.europa.eu/esco/skill/7c394f22-0d20-40e9-b7f7-230b36be6494"
"monitor organisation climate";"Monitor the work environment and the behaviour of employees in an organisation to assess how the organisation culture is perceived by the employees and identify the factors which influence behaviour and which may facilitate a positive work environment.";"skill";"http://data.europa.eu/esco/skill/e4a7d2be-9cdd-43c6-ab43-8060fe5ad5c8"
"discharge employees";"Dismiss employees from their job.";"skill";"http://data.europa.eu/esco/skill/88f823da-ab17-4559-8985-69b1507675ca"
"cutting technologies";"The variety of cutting technologies, such as software or mechanics, guiding cutting processes through lasering, sawing, milling etc.";"knowledge";"http://data.europa.eu/esco/skill/2973b3bc-5893-4b3d-8953-22ef677a162f"
"lay underlayment";"Lay an underlayment or pad on the surface before placing the top surface covering in order to protect the carpet from damage and wear. Tape or staple the underlayment to the floor and attach the edges to each other to prevent intrusion of water or other contaminants.";"skill";"http://data.europa.eu/esco/skill/fda7cfc6-0a50-40e0-8eea-04e02b01ff2b"
"pharmacotherapy";"The application of medicinal drugs used to treat diseases compared to surgical therapy.";"knowledge";"http://data.europa.eu/esco/skill/f00b56a7-0160-4af4-bb7c-e6ef02d06a4f"
"preparation for parenthood";"The changes, such as the psychological aspects, affecting the parents after childbirth.";"knowledge";"http://data.europa.eu/esco/skill/cc94f454-56d1-41b9-a82e-2aed9ed4f72e"
"biomedicine";"The study of the human body in relation to medicine and the environment. This includes the applications and practices involved in biological and natural sciences.";"knowledge";"http://data.europa.eu/esco/skill/10f08e82-ee2f-4790-a43d-5fd3f9b8a392"
"splice cable";"Join and weave electric and communications cable and trunk lines together.";"skill";"http://data.europa.eu/esco/skill/4a30802f-827c-4706-9099-de85beee6cb5"
"manage student relationships";"Manage the relations between students and between student and teacher. Act as a just authority and create an environment of trust and stability.";"skill";"http://data.europa.eu/esco/skill/44da96fe-26a3-4a32-9a0f-c49614bb7298"
"oversee record management";"Control and oversee electronic records of an organisation throughout the records life-cycle.";"skill";"http://data.europa.eu/esco/skill/d4f9906e-3b22-4c27-9b32-1c1f457ced44"
"perform debt investigation";"Use research techniques and tracing strategies to identify overdue payment arrangements and address them";"skill";"http://data.europa.eu/esco/skill/9da22795-4383-4bea-9ac5-e80fdf16ece5"
"research equipment needs";"Research equipment or required machine parts; compare sources, prices and delivery times.";"skill";"http://data.europa.eu/esco/skill/8dee09d8-07da-493a-a171-d2d7737498ff"
"legal department processes";"The different processes, duties, jargon, role in an organisation, and other specificities of the legal department within an organisation such as patents, legal cases, and legal compliance.";"knowledge";"http://data.europa.eu/esco/skill/c68e4cc4-b842-4660-a84c-48f11c70f657"
"disassemble equipment";"Disassembles equipment using hand tools in order to clean equipments and to perform regular operational maintenance.";"skill";"http://data.europa.eu/esco/skill/2562fa92-6ecf-4ba9-831e-0ce94acb8991"
"integrate building requirements of clients in the architectural design";"Interpret clients’ requirements for building projects and integrate them into the design of the construction while considering feasibility and budget constraints.";"skill";"http://data.europa.eu/esco/skill/bd2102ea-c8d9-40f6-8327-211450120e96"
"process medical insurance claims";"Contact the patient`s health insurance company and submit the appropriate forms with information on the patient and treatment.";"skill";"http://data.europa.eu/esco/skill/7361c086-443c-43c2-8215-31ef8e8895e5"
"architectural design";"The branch of architecture that strives for balance and harmony in the elements of a construction or architectural project.";"knowledge";"http://data.europa.eu/esco/skill/80c042de-bc1a-4d78-b266-35bc80ba3093"
"assist students with their dissertation";"Support university students with the writing of their paper or theses. Advise on research methods or additions to certain parts of their dissertations. Report different types of errors, such as research or methodological errors, to the student.";"skill";"http://data.europa.eu/esco/skill/94c42df0-5d8f-42c7-842f-21be2d0e0588"
"auriculotherapy";"Alternative medicine therapy which has as its basis the idea that the ear is a microsystem which represents the entire body. Thus the physical, mental or emotional health conditions can be treated from the ear surface by means of reflexology and acupuncture.";"knowledge";"http://data.europa.eu/esco/skill/becbbfa0-d5e1-4b73-beba-d65e48920360"
"position engine on test stand";"Position the engine on a stand or in a cell, ready for testing, by using a hoist or overhead crane.";"skill";"http://data.europa.eu/esco/skill/e9d1691f-9e80-4108-8bd4-a9cf3c486fea"
"unmanned air systems";"The systems used to remotely control unmanned aerial vehicles by onboard computers or by a pilot on the ground or in the air.";"knowledge";"http://data.europa.eu/esco/skill/a521903b-aa32-4954-9790-961b0df1261f"
"empathise with the woman's family during and after pregnancy";"Demonstrate empathy with women and their families during pregancy, childbirth labour and in the post partum period.";"skill";"http://data.europa.eu/esco/skill/3f13dda5-f504-4997-a595-f0d60719897c"
"architectural theory";"The principles underlying the various theories pertaining to architecture. The relationship between buildings and society, and the relationship between art and architecture. The theories surrounding the architect's position in culture and society.";"knowledge";"http://data.europa.eu/esco/skill/9f5e899e-a53f-4b7a-a137-aade7fb18b86"
"keep records of attendance";"Keep track of the pupils who are absent by recording their names on a list of absentees.";"skill";"http://data.europa.eu/esco/skill/a8fe6eae-cfc1-4580-ad12-f325e8c2b21b"
"participate in scientific colloquia";"Take part in symposia, international experts’ conferences, and congresses to present research projects, methods, and results and to gather information on developments in academic research.";"skill";"http://data.europa.eu/esco/skill/6c7e5e01-a372-4674-aa7c-589eb9e9448a"
"teach university class";"Instruct university students in the theory and practice of a certain subject or field taught by an assistant lecturer or professor with the aim of enriching their knowledge.";"skill";"http://data.europa.eu/esco/skill/428ab44b-39ef-42d6-a93d-12f4efc4cb10"
"material mechanics";"The behaviour of solid objects when subjected to stresses and strains, and the methods to calculate these stresses and strains.";"knowledge";"http://data.europa.eu/esco/skill/2964011e-f828-4c6c-b98b-51e984d66365"
"construction methods";"The various techniques and methods for erecting buildings and other constructions.";"knowledge";"http://data.europa.eu/esco/skill/cc173f61-3386-44c5-a048-3889e1ec9114"
"develop entertainment programmes";"Create, schedule and guide engaging and challenging entertainment programmes.";"skill";"http://data.europa.eu/esco/skill/e985bd67-6a1b-4096-b706-6c99d7f60116"
"sales department processes";"The different processes, duties, jargon, role in an organisation, and other specificities of the sales department within an organisation.";"knowledge";"http://data.europa.eu/esco/skill/c1388df1-47bd-4fd5-8b71-dce7886ef21b"
"perform physical stress tests on models";"Perform tests on products' models to analyse the ability of products to endure temperature, loads, motion, vibration and other factors.";"skill";"http://data.europa.eu/esco/skill/3cb69f14-c297-474a-8950-5e7af4da0049"
"holding company activities";"The principles, legal actions and strategies of a holding company such as influencing the management of a firm through the acquirement of outstanding stock and other means, more specifically by influencing or electing the board of directors of a company.";"knowledge";"http://data.europa.eu/esco/skill/d163cdab-6b68-4bbd-84cd-aeb75b4a65e2"
"embryology";"The normal development of the embryo, the aetiology of developmental anomalies such as genetic aspects and organogenesis and the natural history of abnormalities diagnosed before birth.";"knowledge";"http://data.europa.eu/esco/skill/dbd3e193-6a61-43d1-ab00-b34bae73e82a"
"initiate contact with sellers";"Identify sellers of commodities and establish contact.";"skill";"http://data.europa.eu/esco/skill/5308b523-dc53-4d32-91c7-6654ff40eea8"
"provide postnatal care";"Provide care to the mother and the new-born child following birth, ensuring that the new-born and the mother are healthy and that the mother is capable of taking care of her new-born.";"skill";"http://data.europa.eu/esco/skill/947f34a6-fb18-4b0a-9e89-5d38cbbc7abe"
"synthetic natural environment";"The simulation and representation of components of physical world such as climate, wheather and space where military systems exist in order to obtain information and perform tests.";"knowledge";"http://data.europa.eu/esco/skill/f82e10fc-392c-429e-bcc2-0b9ce5ee886f"
"disassemble engines";"Disassemble internal combustion engines, generators, pumps, transmissions and other components of mechanical equipment.";"skill";"http://data.europa.eu/esco/skill/db3c8181-31b4-4950-bf0b-de01f93c372b"
"prepare sales checks";"Provide customers with official documents that prove their purchase and payment.";"skill";"http://data.europa.eu/esco/skill/0ae55852-562d-4fc9-be5e-d99f54e91b24"
"gather feedback from employees";"Communicate in an open and positive manner in order to assess levels of satisfaction with employees, their outlook on the work environment, and in order to identify problems and devise solutions.";"skill";"http://data.europa.eu/esco/skill/6053cf28-2f42-44bb-8d27-a43920128b30"
"monitor security measures";"Oversee and control the implementation of prevention, security, and surveillance measures in order to assess their effectiveness and to make adjustments in case of unsatisfactory results.";"skill";"http://data.europa.eu/esco/skill/f6100198-9398-4c31-9003-d976c37d5022"
"select acupuncture points";"Based on the examination of the patient and his/hers symptoms, decide on which acupuncture points to be stimulated and with what technique.";"skill";"http://data.europa.eu/esco/skill/0c5240b1-bf34-4dfe-be9b-52a6a3357fbe"
"detain offenders";"Keep back offenders and trespassers in a certain area.";"skill";"http://data.europa.eu/esco/skill/d43dc4ac-e316-44cb-939d-ecf200895e0f"
"install lightning protection system";"Fix the electrodes deep in the ground, fasten the metal conductors such as copper cables to the walls, and install the lightning conductor on the roof.";"skill";"http://data.europa.eu/esco/skill/cbcce641-a001-47eb-b15b-476da8dfc9ce"
"prepare medication from prescription";"Prepare the pharmaceutical form of medicinal products according to the prescription received from the medical doctor.";"skill";"http://data.europa.eu/esco/skill/ad32ac81-7dff-48c0-ac27-062d62b08861"
"perform business research";"Search and collect information relevant for the development of businesses in different fields ranging from legal, accounting, finance, up to commercial matters.";"skill";"http://data.europa.eu/esco/skill/0839eea4-c57b-4c14-b19b-923fbedb5d88"
"exercise patience";"Have patience by dealing with unexpected delays or other waiting periods without becoming annoyed or anxious.";"skill";"http://data.europa.eu/esco/skill/1bb3a4b7-c0e4-434a-850d-0d2874a9c251"
"translate language concepts";"Translate one language into another language. Match words and expressions with their corresponding brothers in other languages, while making sure that the message and nuances of the original text are preserved.";"skill";"http://data.europa.eu/esco/skill/fd8c0029-9dc7-4b54-845b-ed30c61ba0f8"
"demography";"The scientific field of study that deals with studying the size, structure, and distribution of the human population, and its geographical and temporal changes.";"knowledge";"http://data.europa.eu/esco/skill/c94dd931-f568-48e2-9a1c-922f1ce21f67"
"design scientific equipment";"Design new equipment or adapt existing equipment to aid scientists in gathering and analysing data and samples.";"skill";"http://data.europa.eu/esco/skill/f256f3fb-bb26-4d2c-99f2-7f99b68076fd"
"protect employee rights";"Assess and handle situations in which the rights set by legislation and corporate policy for employees may be breached and take the appropriate actions in order to protect the employees.";"skill";"http://data.europa.eu/esco/skill/72836f47-cf5c-48e1-a82b-1cf6e4e0f623"
"pharmaceutical technology";"Pharmaceutical technology is the branch of pharmaceutics which deals with the technological design, development, manufacture, and evaluation of drugs and medicinal products.";"knowledge";"http://data.europa.eu/esco/skill/7b1ab171-caed-4561-89e4-b214396b1ae8"
"examine the new-born infant";"Perform a neonatal examination to identify any danger signs, to assess the normal adaptations of a newborn after birth and to identify birth defects or birth trauma.";"skill";"http://data.europa.eu/esco/skill/1eb9469c-a11a-4595-be46-96ab15f1397a"
"organise a damage assessment";"Organise a damage assessment by indicating an expert to identify and examine the damage, give information and instructions to experts and follow up on the experts, and write a damage report.";"skill";"http://data.europa.eu/esco/skill/fd265b91-d214-4298-bb94-21dcf2966ec2"
"inorganic chemistry";"The chemistry of substances that do not contain hydrocarbon radicals.";"knowledge";"http://data.europa.eu/esco/skill/b74a4387-80dc-4d78-aab4-11215c86b1dc"
"develop security concepts";"Develop prevention, security, and surveillance practices and concepts to fight against fraud and to enhance public security, crime prevention, and investigation.";"skill";"http://data.europa.eu/esco/skill/9da7bfb1-9e1a-46de-8374-dac1a7cfa86c"
"distribute meals to patients";"Provide meals to patients or residents, following the dietary requirements and medical prescriptions.";"skill";"http://data.europa.eu/esco/skill/b5a8ce01-a4ae-43c1-b4e4-c44be6804691"
"practice vigilance";"Practice vigilance during patrol or other surveillance activities in order to ensure safety and security, to look out for suspicious behaviour or other alarming changes in patterns or activities, and to respond quickly to these changes.";"skill";"http://data.europa.eu/esco/skill/f83c245f-4aa9-484f-8fd2-4ad65dd82ae5"
"analyse goal progress";"Analyse the steps which have been taken in order to reach the organisation's goals in order to assess the progress which has been made, the feasibility of the goals, and to ensure the goals can be met according to deadlines.";"skill";"http://data.europa.eu/esco/skill/dbfb9dda-48d9-4a10-9821-3237f868071b"
"assess the feasibility of implementing developments";"Study developments and innovation proposals in order to determine their applicability in the business and their feasibility of implementation from various fronts such as economic impact, business image, and consumer response.";"skill";"http://data.europa.eu/esco/skill/21056f6a-8a85-4eb0-b709-468578b809e0"
"manage payroll";"Manage and be responsible for employees receiving their wages, review salaries and benefit plans and advise management on payroll and other employment conditions.";"skill";"http://data.europa.eu/esco/skill/9d916d7c-89b3-4084-a6d9-e2b0b3091404"
"set inclusion policies";"Develop and implement plans which aim to create an environment in an organisation which is positive and inclusive of minorities, such as ethnicities, gender identities, and religious minorities.";"skill";"http://data.europa.eu/esco/skill/7ab41e7d-6f5c-49f7-858d-e6cb3070e9eb"
"medical studies";"The basics and terminology of medical studies.";"knowledge";"http://data.europa.eu/esco/skill/53d45a18-6c15-4c50-821c-d116ae0611ec"
"examine credit ratings";"Investigate and look for information on the creditworthiness of companies and corporations, provided by credit rating agencies in order to determine the likelihood of default by the debtor.";"skill";"http://data.europa.eu/esco/skill/68babd52-64d1-4904-a476-173828217fd2"
"draft corporate emails";"Prepare, compile, and write mails with the adequate information and an appropriate language to make internal or external communications.";"skill";"http://data.europa.eu/esco/skill/ec0bbf39-0edd-4015-a2c3-82ad563ce3a8"
"coordinate patrols";"Coordinate the investigation and inspection of a certain area by assigning patrollers to routes and areas, establishing the area that needs patrolling, and coordinating the activities during the patrol.";"skill";"http://data.europa.eu/esco/skill/af43a17b-8ac2-4cff-8318-42701317daa7"
"assess breaches of licence agreements";"Assess cases where the licence agreement is potentially breached by the licence holder in order to evaluate the nature of the breach, determine appropriate consequences such as the revoking of the licence or issuing a fine, and to ensure compliance with legislation.";"skill";"http://data.europa.eu/esco/skill/3ddd316c-43c5-4e77-8ef9-1564851a4618"
"form operational strategies for law enforcement";"Form strategies to turn laws and regulations into operational goals and plans of action to ensure that the law is complied with and offenders receive the correct sentence, fine or other consequence.";"skill";"http://data.europa.eu/esco/skill/580397d1-22d3-4c8e-8cb8-cfef871d42c2"
"ophthalmology";"Ophthalmology is a medical specialty mentioned in the EU Directive 2005/36/EC.";"knowledge";"http://data.europa.eu/esco/skill/3807585e-a35a-4b84-8498-70a63295609a"
"teach law enforcement principles";"Instruct students in the theory and practice of law enforcement, more specifically in courses such as crime prevention, crash investigation, and firearms training, with the aim of assisting them in pursuing a future career in this field.";"skill";"http://data.europa.eu/esco/skill/95b22214-8a23-4dc8-8aee-e81999705a5a"
"maintain dental instruments";"Ensure all dental instruments and components are properly stored and taken care of so they maintain their functionality and appearance.";"skill";"http://data.europa.eu/esco/skill/26b6d86c-4e13-4b3a-90b6-04ea59553465"
"seal flooring";"Use a suitable sealer to seal a floor, preventing damage from fluids and other spills.";"skill";"http://data.europa.eu/esco/skill/64992101-9b9f-4895-8a62-782f7971cf8a"
"prepare surface for painting";"Make sure the surface to be painted is free of scratches and dents. Assess the porosity of the wall and the need for coating. Remove any grease, dirt, moisture and traces of previous coverings.";"skill";"http://data.europa.eu/esco/skill/7d2a1c45-fae0-4bd6-b570-c668c9d4eda7"
"cloud technologies";"The technologies which enable access to hardware, software, data and services through remote servers and software networks irrespective of their location and architecture.";"knowledge";"http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0"
"construction legal systems";"The different legal systems and regulations governing construction activities across Europe.";"knowledge";"http://data.europa.eu/esco/skill/204713d1-a658-435b-b495-765866715755"
"use specialised design software";"Developing new designs mastering specialised software.";"skill";"http://data.europa.eu/esco/skill/3c1af34b-4562-4c39-a30e-0812b84a147e"
"mark differences in colours";"Identify differences between colours, such as shades of colour.";"skill";"http://data.europa.eu/esco/skill/2f4f78ac-0246-4c59-907d-9fcb46f8fb77"
"operate a forecourt site";"Oversee and manage day-to-day operations in a service station forecourt.";"skill";"http://data.europa.eu/esco/skill/042e1e68-b190-47c0-8f0d-ff312fc25b71"
"journalism";"The activity of collecting, processing and presenting to and audience information related to current events, trends, and people, called the news.";"knowledge";"http://data.europa.eu/esco/skill/3391d6dd-d584-4c8c-9af9-d2f0c45e2b4b"
"plan customers' sales visits";"Plan day-to-day sales routes and customer visits in order to introduce or sell new services or products.";"skill";"http://data.europa.eu/esco/skill/c910ef90-db9b-48ef-bf18-a94b265a4b05"
"relationship between buildings, people and the environment";"Understand the relationships and the interactions between people, buildings, and the environment in order to adapt architectural works to the human needs.";"knowledge";"http://data.europa.eu/esco/skill/c5afeb33-4291-44c9-a89a-373185d0bfef"
